account_number,total_amount,successful_transactions,total_transactions,success_rate
ACC9393,49647.38,1,1,100.0
ACC9850,49404.26,1,1,100.0
ACC6866,48328.67,0,1,0.0
ACC8850,44705.73,0,1,0.0
ACC4396,43363.33,0,1,0.0
ACC3033,41773.28,0,1,0.0
ACC2251,36814.59,0,1,0.0
ACC6277,36311.16,0,1,0.0
ACC3665,35890.36,1,1,100.0
ACC7672,35819.03,1,1,100.0
ACC2719,34674.21,1,1,100.0
ACC5262,32700.51,1,1,100.0
ACC4212,31726.51,1,1,100.0
ACC5496,31695.07,1,1,100.0
ACC4815,31526.72,1,1,100.0
ACC1501,29385.8,1,1,100.0
ACC8343,29035.11,1,1,100.0
ACC7115,28148.09,1,1,100.0
ACC5470,27862.0,0,1,0.0
ACC2470,27575.25,1,1,100.0
ACC8431,27472.28,1,1,100.0
ACC3805,26616.6,1,1,100.0
ACC7141,26093.81,1,1,100.0
ACC9450,25639.56,0,1,0.0
ACC1678,25403.67,0,1,0.0
ACC8229,25147.82,0,1,0.0
ACC3933,24586.62,0,1,0.0
ACC1817,23172.49,1,1,100.0
ACC3673,23158.84,0,1,0.0
ACC1680,21867.47,0,1,0.0
ACC5178,21736.47,1,1,100.0
ACC6883,21144.64,1,1,100.0
ACC3782,19306.77,0,1,0.0
ACC9712,19113.81,0,1,0.0
ACC4967,18062.6,1,1,100.0
ACC9405,16504.44,1,1,100.0
ACC3956,16024.3,0,1,0.0
ACC9491,15504.79,0,1,0.0
ACC5522,13882.68,0,1,0.0
ACC6154,13881.05,0,1,0.0
ACC6696,13641.13,0,1,0.0
ACC9853,12298.26,0,1,0.0
ACC2283,12232.29,1,1,100.0
ACC7081,11007.97,1,1,100.0
ACC5261,11006.98,1,1,100.0
ACC5584,11001.65,0,1,0.0
ACC1273,10683.89,0,1,0.0
ACC1753,10163.3,0,1,0.0
ACC6805,8709.11,0,1,0.0
ACC3533,8241.78,0,1,0.0
ACC7598,7693.7,1,1,100.0
ACC6892,7551.1,0,1,0.0
ACC5155,7483.85,0,1,0.0
ACC6004,7270.2,0,1,0.0
ACC3476,5639.75,0,1,0.0
ACC5531,5389.31,0,1,0.0
ACC7551,4801.11,0,1,0.0
ACC2388,4056.13,0,1,0.0
ACC8388,3895.93,0,1,0.0
ACC5170,3195.13,1,1,100.0
ACC7728,3099.34,1,1,100.0
ACC4036,2653.62,0,1,0.0
ACC8029,1565.14,1,1,100.0
ACC2706,1255.43,1,1,100.0
ACC7575,1081.71,0,1,0.0
ACC6653,1055.84,0,1,0.0
ACC7240,527.18,0,1,0.0
ACC6529,463.69,0,1,0.0
ACC9274,320.66,1,1,100.0
ACC1799,164.2,1,1,100.0
