account_number,total_spent,avg_transaction,transaction_count,primary_type
ACC9393,49647.38,49647.38,1,RTGS
ACC9850,49404.26,49404.26,1,RTGS
ACC6866,48328.67,48328.67,1,IMPS
ACC8850,44705.73,44705.73,1,IMPS
ACC4396,43363.33,43363.33,1,RTGS
ACC3033,41773.28,41773.28,1,NEFT
ACC2251,36814.59,36814.59,1,NEFT
ACC6277,36311.16,36311.16,1,RTGS
ACC3665,35890.36,35890.36,1,IMPS
ACC7672,35819.03,35819.03,1,NEFT
ACC2719,34674.21,34674.21,1,IMPS
ACC5262,32700.51,32700.51,1,IMPS
ACC4212,31726.51,31726.51,1,RTGS
ACC5496,31695.07,31695.07,1,NEFT
ACC4815,31526.72,31526.72,1,IMPS
ACC1501,29385.8,29385.8,1,IMPS
ACC8343,29035.11,29035.11,1,RTGS
ACC7115,28148.09,28148.09,1,IMPS
ACC5470,27862.0,27862.0,1,IMPS
ACC2470,27575.25,27575.25,1,NEFT
ACC8431,27472.28,27472.28,1,RTGS
ACC3805,26616.6,26616.6,1,IMPS
ACC7141,26093.81,26093.81,1,NEFT
ACC9450,25639.56,25639.56,1,NEFT
ACC1678,25403.67,25403.67,1,NEFT
ACC8229,25147.82,25147.82,1,IMPS
ACC3933,24586.62,24586.62,1,RTGS
ACC1817,23172.49,23172.49,1,NEFT
ACC3673,23158.84,23158.84,1,NEFT
ACC1680,21867.47,21867.47,1,IMPS
ACC5178,21736.47,21736.47,1,NEFT
ACC6883,21144.64,21144.64,1,RTGS
ACC3782,19306.77,19306.77,1,IMPS
ACC9712,19113.81,19113.81,1,IMPS
ACC4967,18062.6,18062.6,1,IMPS
ACC9405,16504.44,16504.44,1,NEFT
ACC3956,16024.3,16024.3,1,RTGS
ACC9491,15504.79,15504.79,1,RTGS
ACC5522,13882.68,13882.68,1,RTGS
ACC6154,13881.05,13881.05,1,IMPS
ACC6696,13641.13,13641.13,1,RTGS
ACC9853,12298.26,12298.26,1,IMPS
ACC2283,12232.29,12232.29,1,RTGS
ACC7081,11007.97,11007.97,1,RTGS
ACC5261,11006.98,11006.98,1,RTGS
ACC5584,11001.65,11001.65,1,NEFT
ACC1273,10683.89,10683.89,1,IMPS
ACC1753,10163.3,10163.3,1,RTGS
ACC6805,8709.11,8709.11,1,NEFT
ACC3533,8241.78,8241.78,1,NEFT
ACC7598,7693.7,7693.7,1,RTGS
ACC6892,7551.1,7551.1,1,IMPS
ACC5155,7483.85,7483.85,1,NEFT
ACC6004,7270.2,7270.2,1,IMPS
ACC3476,5639.75,5639.75,1,NEFT
ACC5531,5389.31,5389.31,1,RTGS
ACC7551,4801.11,4801.11,1,RTGS
ACC2388,4056.13,4056.13,1,IMPS
ACC8388,3895.93,3895.93,1,RTGS
ACC5170,3195.13,3195.13,1,IMPS
ACC7728,3099.34,3099.34,1,RTGS
ACC4036,2653.62,2653.62,1,NEFT
ACC8029,1565.14,1565.14,1,RTGS
ACC2706,1255.43,1255.43,1,IMPS
ACC7575,1081.71,1081.71,1,IMPS
ACC6653,1055.84,1055.84,1,NEFT
ACC7240,527.18,527.18,1,RTGS
ACC6529,463.69,463.69,1,NEFT
ACC9274,320.66,320.66,1,NEFT
ACC1799,164.2,164.2,1,NEFT
